沁;qìn;THẤM;"rỉ ra; ngấm; thấm (hương thơm, chất lỏng); gục đầu; cúi xuống; thả vào; cho vào; thêm vào (nước)";""
挺;tǐng;ĐĨNH;"rất; lắm; khá";""
逞;chěng;SÍNH;"khoe; trổ tài; tỏ rõ; phô trương; thể hiện (tài năng, uy phong); đạt được; thực hiện (ý đồ xấu); dung túng; nuông chiều; buông thả; phóng đãng";""
榜;bǎng;BẢNG;"bảng; danh sách; công văn; cáo thị (thời xưa)";""
芹;qín;CẦN;"rau cần";""
雄;xióng;HÙNG;"đực; sống; trống (giống); hùng vĩ; oai phong; hùng dũng; mạnh mẽ";""
皆;jiē;GIAI;"đều; cùng; đều là; toàn là";""
仇;chóu;CỪU;"kẻ thù; cừu địch; kẻ địch; vật nguy hại; địch thủ; quân địch; thù hận; sự thù hằn; mối thù; tình trạng thù địch; oán hận";""
顾;gù;CỐ;"ngoảnh, ngoái nhìn, đoái";""
频;pín;TẦN;"nhiều lần; thường xuyên; liên tục";""
辽;liáo;LIÊU;"xa; xa xôi";""
卑;bēi;TI;"thấp; thấp hèn (vị trí; địa vị); kém; bỉ ổi; ti tiện; thấp hèn; hèn mọn; tầm thường; khiêm tốn; khiêm nhường; lễ độ";""
贫;pín;BẦN;"nghèo; bần; túng; lắm lời; làu bàu; lảm nhảm; bần tăng; bần ni; bần đạo; thiếu thốn; ít";""
弱;ruò;NHƯỢC;"yếu; yếu sức; yếu kém; trẻ; trẻ nhỏ; trẻ con; kém; không bằng; mất; chết; qua đời; quá cố; ít; non; ngót; gần";""
毫;háo;HÀO;"lông; bút lông; sợi dây (buộc ở đầu cân); sợi tóc nhỏ";""
施;shī;THI.THÍ;"thực hiện, tiến hành";""
举;jǔ;CỬ;"giơ; cử; nâng; tổ chức; nổi dậy; chọn; bầu cử; đưa ra; nêu lên; nêu ra";""
妻;qī;THẾ;"vợ; bà xã; hôn thê";""
阅;yuè;DUYỆT;"đọc; xem; trải qua; từng trải; kinh qua; kiểm duyệt; xét duyệt; xem xét; đánh giá";""
切;qiè;THIẾT;"thềm; bậc cửa; ngưỡng cửa";""
贴;tiē;THIẾP;"dán (làm cho dính vào nhau); kề; sát; khít; áp sát; trợ giúp; trợ cấp";""
端;duān;ĐOAN;"đầu, mối";""
标;biāo;TIÊU;"ngọn cây; đánh dấu; dấu hiệu; biển báo; tiêu chuẩn; định mức; chỉ tiêu; dấu hiệu; triệu chứng; giải thưởng; phần thưởng; giải; đấu thầu; tiêu cục (một biên chế lục quân cuối thời Thanh)";""
狮;shī;SƯ;"sư tử";""
寿;shòu;THỌ;"tuổi; sống; ngày sinh; sinh nhật (của người lớn tuổi); thọ (chuẩn bị sẵn cho việc làm ma); họ Thọ";""
楚;chǔ;SỞ;"đau khổ; khổ sở; đau đớn; đau buồn; đau lòng; rõ ràng; chỉnh tề; minh bạch; ngăn nắp; ngắn gọn";""
废;fèi;PHẾ;"phế; phế bỏ; bỏ; bỏ dở; hỏng; phế truất; cách chức; bãi miễn";""
若;ruò;NHƯỢC;"như; dường như";""
籍;jí;TỊCH;"sách; thư tịch; sách vở; quê quán; tịch (quan hệ lệ thuộc giữa cá nhân đối với nhà nước hoặc một tổ chức); họ Tịch";""
遗;yí;DI;"đánh rơi; mất; rơi mất; quên; để sót; để lại; lưu lại; để lại; di (cái của người chết để lại); són; di (chỉ sự bài tiết không tự chủ)";""
秒;miǎo;MIỂU;"giây (thời gian)";""
刷;shuā;LOÁT;"bàn chải; rửa";""
躺;tǎng;THẢNG;"nằm thẳng cẳng";""
摆;bǎi;BÀI;"đặt; bày; xếp đặt; bày biện; bố trí; khoe; loè; ra oai; xua; vẫy; lắc lư; đung đưa; nói; trò chuyện; trình bày; bóc trần; vạch trần";""
穷;qióng;CÙNG;"cuối, hết";"cứu 究"
匪;fěi;PHỈ;"cường đạo; kẻ cướp; đạo chích; thổ phỉ";""
责;zé;TRÁCH;"trách nhiệm";""
逆;nì;NGHỊCH;"chống lại; chọi lại; không thuận; không phục tùng; đón; tiếp; đón tiếp";""
辰;chén;THẦN;"Thìn (ngôi thứ năm trong 12 địa chi); thiên thể (tên chung của mặt trời; mặt trăng và các ngôi sao); giờ; ngày tháng; thời gian; Thần Châu (địa danh); thời thần (chia một ngày thành 12 giờ)";""
欣;xīn;HÂN;"vui vẻ; vui mừng; mừng rỡ";""
虐;nüè;NGƯỢC;"độc ác; tàn bạo";""
悠;yōu;DU;"lâu; xa; nhàn rỗi; rỗi rãi; thong dong";""
猎;liè;LIỆP;"săn bắn; săn bắt; săn; tìm kiếm; theo đuổi";""
烧;shāo;THIÊU;"đốt cháy";""
肆;sì;TỨ;"cùng cực, phóng túng; phơi bày, bêu; bốn, 4 (như 四, dùng trong văn tự)";""
沦;lún;LUÂN;"chìm, đắm";"轮 luân bánh xe"
陷;xiàn;HÃM;"vùi lấp; hãm hại; phá hoại";""
陋;lòu;LẬU;"xấu; xấu xí; thô; xấu; xoàng; chật hẹp; sơ sài (nhà ở); cổ hủ; không văn minh; nông cạn; thiển cận; ít hiểu biết";""
枕;zhěn;CHẨM;"gối; cái gối; vỏ gối";""
途;tú;ĐỒ;"đường; đường đi";""
勿;wù;VẬT;"chớ; đừng; miễn; không";""
倍;bèi;BỘI;"lần; đôi";""
猜;cāi;SAI;"đoán; suy đoán; phỏng đoán; nghi ngờ; sinh nghi; hoài nghi";""
禁;jìn;CẤM;"cấm; ngăn cấm; giam cầm; cầm tù; giam hãm; giam giữ";"楚 （sở - khổ sở）"
楼;lóu;LÂU;"nhà lầu; tòa nhà; quán; tiệm; cổng; lầu; tháp; lầu; tầng; họ Lâu";""
涌;yǒng;DŨNG;"tuôn ra; phun ra; bốc lên (mây, nước); ùa; lộ ra; hiện ra; xuất hiện";""
悦;yuè;DUYỆT;"vui mừng; hớn hở; vui vẻ";""
顾;gù;CỐ;"nhìn; ngoảnh; quay đầu lại nhìn; lo; chú ý; săn sóc; trông nom; chiếu cố; thăm viếng; đến thăm; khách hàng; thương; quan tâm; nhớ nhung";""
富;fù;PHÚ;"giàu; sung túc; phú; phong phú; đa dạng; nhiều";""
